Sales_Rep_ID,Sales_Rep_Name,Customer_ID,Loan_Customer,Application_Date,Approved_Date,Approval Status,Product_Type,Customer_Income_Level,Customer_Credit_Score,Customer_Credit_Score_Rating,Loan_Amount,Loan_Interest_Rate,Loan_Interest_Amount,Customer_Acquisition_Cost,Loan_Processed,Loan_Processed_Date,Expected_Repayment_Date,Actual_Repayment_Date,Repayment_Difference_Days,Repayment_Status,Had_Pre-Application_Call
18,Amaka Obi,1,Adebola Adebayo,2024-08-14 18:20:41.255,2024-08-16 18:20:41.000,Approved,Personal Loan,Medium,Fair,2,91045,0.09102215343948669,8287.11195989807,2900.48918596432,False,,,,,,True
9,Ibrahim Danjuma,2,Chukwuemeka Onyekachi,2024-12-18 18:20:41.255,2024-12-20 18:20:41.255,Approved,Personal Loan,Low,Fair,2,31744,0.0317360342554019,1007.4286714034778,352.6000349912172,False,,,,,,True
6,Funke Adeyemi,3,Aisha Usman,2024-07-16 18:20:41.255,2024-07-18 18:20:41.255,Approved,Auto Loan,Low,Fair,2,92940,0.09291667791384363,8635.676045312626,3022.486615859419,False,,,,,,True
13,Bola Akinwunmi,4,Tolu Fashola,2024-07-24 18:20:41.255,2024-07-26 18:20:41.255,Approved,Mortgage,Low,Excellent,4,63724,0.0637080092896683,4059.7291839748227,1420.9052143911879,False,,,,,,True
16,Chika Umeh,5,Ifeanyi Eze,2024-09-23 18:20:41.255,2024-09-25 18:20:41.255,Approved,Personal Loan,Medium,Good,3,70059,0.07004141960367948,4907.031816014181,1717.4611356049631,False,,,,,,True
15,Gbenga Adesina,6,Fatima Musa,2024-07-19 18:20:41.255,2024-07-21 18:20:41.255,Approved,Personal Loan,High,Fair,2,18856,0.018851268331648754,355.4595156615689,124.41083048154911,False,,,,,,True
6,Funke Adeyemi,7,Kunle Ojo,2024-06-10 18:20:41.255,2024-06-12 18:20:41.255,Approved,Mortgage,Medium,Fair,2,20864,0.02085876445012302,435.1972614873667,152.31904152057834,True,2024-06-15 18:20:41.255,2024-07-15 18:20:41.255,2024-07-11 18:20:41.255,-4.0,Early,True
15,Gbenga Adesina,8,Ngozi Chukwu,2024-04-22 18:20:41.255,2024-04-24 18:20:41.255,Approved,Mortgage,High,Good,3,30425,0.030417365241324427,925.4483374672957,323.90691811355344,True,2024-04-27 18:20:41.255,2024-05-27 18:20:41.255,2024-05-23 18:20:41.255,-4.0,Early,False
7,Segun Oladipo,9,Ahmed Danladi,2025-03-07 18:20:41.255,2025-03-09 18:20:41.255,Approved,Auto Loan,Low,Excellent,4,71037,0.07101917418727899,5044.989076741737,1765.7461768596079,True,2025-03-12 18:20:41.255,2025-04-11 18:20:41.255,2025-04-07 18:20:41.255,-4.0,Early,True
7,Segun Oladipo,10,Olamide Ajayi,2024-10-14 18:20:41.255,2024-10-16 18:20:41.255,Approved,Auto Loan,High,Excellent,4,43351,0.043340121629471005,1878.8376127591976,657.5931644657192,False,,,,,,True
